file,class,method,variable,usage
c:\PROJECTS\apollo\apollo-adminservice\src\test\java\com\ctrip\framework\apollo\adminservice\controller\ServerConfigControllerTest.java,com.ctrip.framework.apollo.adminservice.controller.ServerConfigControllerTest,findAllServerConfig/0,serverConfigs,4
c:\PROJECTS\apollo\apollo-adminservice\src\test\java\com\ctrip\framework\apollo\adminservice\controller\ServerConfigControllerTest.java,com.ctrip.framework.apollo.adminservice.controller.ServerConfigControllerTest,createOrUpdatePortalDBConfig/0,response,3
c:\PROJECTS\apollo\apollo-adminservice\src\test\java\com\ctrip\framework\apollo\adminservice\controller\ServerConfigControllerTest.java,com.ctrip.framework.apollo.adminservice.controller.ServerConfigControllerTest,createOrUpdatePortalDBConfig/0,serverConfig,7
c:\PROJECTS\apollo\apollo-adminservice\src\test\java\com\ctrip\framework\apollo\adminservice\controller\ServerConfigControllerTest.java,com.ctrip.framework.apollo.adminservice.controller.ServerConfigControllerTest,createOrUpdatePortalDBConfig/0,serverConfigs,7
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\service\CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"find/6[java.lang.String,com.ctrip.framework.apollo.portal.environment.Env,java.lang.String,java.lang.String,int,int]",size,1
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\service\CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"find/6[java.lang.String,com.ctrip.framework.apollo.portal.environment.Env,java.lang.String,java.lang.String,int,int]",appId,1
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\service\CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"find/6[java.lang.String,com.ctrip.framework.apollo.portal.environment.Env,java.lang.String,java.lang.String,int,int]",clusterName,1
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\service\CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"find/6[java.lang.String,com.ctrip.framework.apollo.portal.environment.Env,java.lang.String,java.lang.String,int,int]",page,1
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\service\CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"find/6[java.lang.String,com.ctrip.framework.apollo.portal.environment.Env,java.lang.String,java.lang.String,int,int]",env,1
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\service\CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"find/6[java.lang.String,com.ctrip.framework.apollo.portal.environment.Env,java.lang.String,java.lang.String,int,int]",dtoList,2
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\service\CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"find/6[java.lang.String,com.ctrip.framework.apollo.portal.environment.Env,java.lang.String,java.lang.String,int,int]",namespaceName,1
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\service\CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"findByKey/7[java.lang.String,com.ctrip.framework.apollo.portal.environment.Env,java.lang.String,java.lang.String,java.lang.String,int,int]",size,1
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\service\CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"findByKey/7[java.lang.String,com.ctrip.framework.apollo.portal.environment.Env,java.lang.String,java.lang.String,java.lang.String,int,int]",appId,1
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\service\CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"findByKey/7[java.lang.String,com.ctrip.framework.apollo.portal.environment.Env,java.lang.String,java.lang.String,java.lang.String,int,int]",clusterName,1
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\service\CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"findByKey/7[java.lang.String,com.ctrip.framework.apollo.portal.environment.Env,java.lang.String,java.lang.String,java.lang.String,int,int]",page,1
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\service\CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"findByKey/7[java.lang.String,com.ctrip.framework.apollo.portal.environment.Env,java.lang.String,java.lang.String,java.lang.String,int,int]",env,1
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\service\CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"findByKey/7[java.lang.String,com.ctrip.framework.apollo.portal.environment.Env,java.lang.String,java.lang.String,java.lang.String,int,int]",dtoList,2
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\service\CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"findByKey/7[java.lang.String,com.ctrip.framework.apollo.portal.environment.Env,java.lang.String,java.lang.String,java.lang.String,int,int]",namespaceName,1
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\service\CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"findByKey/7[java.lang.String,com.ctrip.framework.apollo.portal.environment.Env,java.lang.String,java.lang.String,java.lang.String,int,int]",key,1
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\service\CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"CommitService/2[AdminServiceAPI.CommitAPI,com.ctrip.framework.apollo.portal.service.AdditionalUserInfoEnrichService]",additionalUserInfoEnrichService,2
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\service\CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"CommitService/2[AdminServiceAPI.CommitAPI,com.ctrip.framework.apollo.portal.service.AdditionalUserInfoEnrichService]",commitAPI,2
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\controller\PageSettingController.java,com.ctrip.framework.apollo.portal.controller.PageSettingController,PageSettingController/1[com.ctrip.framework.apollo.portal.component.config.PortalConfig],portalConfig,2
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\controller\PageSettingController.java,com.ctrip.framework.apollo.portal.controller.PageSettingController,getPageSetting/0,setting,3
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\openapi\filter\ConsumerAuthenticationFilter.java,com.ctrip.framework.apollo.openapi.filter.ConsumerAuthenticationFilter,"ConsumerAuthenticationFilter/2[com.ctrip.framework.apollo.openapi.util.ConsumerAuthUtil,com.ctrip.framework.apollo.openapi.util.ConsumerAuditUtil]",consumerAuthUtil,2
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\openapi\filter\ConsumerAuthenticationFilter.java,com.ctrip.framework.apollo.openapi.filter.ConsumerAuthenticationFilter,"ConsumerAuthenticationFilter/2[com.ctrip.framework.apollo.openapi.util.ConsumerAuthUtil,com.ctrip.framework.apollo.openapi.util.ConsumerAuditUtil]",consumerAuditUtil,2
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\openapi\filter\ConsumerAuthenticationFilter.java,com.ctrip.framework.apollo.openapi.filter.ConsumerAuthenticationFilter,init/1[com.ctrip.framework.apollo.openapi.filter.FilterConfig],filterConfig,0
c:\PROJECTS\apollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\openapi\filter\ConsumerAuthenticationFilter.java,com.ctrip.framework.apollo.openapi.filter.ConsumerAuthenticationFilter,"doFilter/3[com.ctrip.framework.apollo.openapi.filter.ServletRequest,com.ctrip.framework.apollo.openapi.filter.ServletResponse,com.ctrip.framework.apollo.openapi.filter.FilterChain]",request,3
